Producto;Estacion;Minutos
B22_SA;SA_Cut_1;2.05
B22_FA;FA_Cut_2;3.82
B22_FA;FA_Cut_1;3.88
B22_BP;BP_Cut_1;2.27
B22_SA;SA_Cut_1;2.3
B22_SA;SA_Routing_1;0.62
B22_BP;BP_Cut_1;2.05
B22_BP;BP_Drill_1;5.37
B22_SA;SA_Drill_1;5.27
B22_FA;FA_Drill_1;5.47
B22_FA;FA_Cut_2;3.63
B22_FA;FA_Drill_2;6.35
B22_FA;FA_Cut_1;4.23
B22_SA;SA_Cut_1;2.45
B22_SA;SA_Routing_1;0.52
B22_BP;BP_Cut_1;2.17
;BP_Drill_2;5.87
B22_SA;SA_Drill_2;5.78
B22_SA;SA_Cut_1;2.17
B22_SA;SA_Routing_1;0.57
B22_BP;BP_Cut_1;63507369.32
;BP_Drill_3;6.1
B22_SA;SA_Drill_3;63507373.52
B22_FA;FA_Drill_3;6.15
B22_FA;FA_Cut_2;3.92
;SA_Assemble_1;2.28
B22_BP;BP_Sand_1;3.08
B22_FA;FA_Cut_1;3.83
B22_BP;;1.93
B22_BP;BP_Drill_1;5.25
B22_SA;SA_Cut_1;-63507369.45
B22_SA;SA_Routing_1;0.53
B22_FA;FA_Drill_1;6.4
B22_FA;FA_Assemble_1;1.68
B22_SA;SA_Drill_1;-63507370.08
B22_BP;BP_Sand_2;3.53
B22_SA;SA_Assemble_1;2.32
B22_BP;BP_Cut_1;2.1
B22_BP;BP_Drill_2;6.18
B22;Assemble_1;4.58
B22_FA;FA_Assemble_1;1.9
B22_BP;BP_Paint_1;2.38
;SA_Cut_1;2.53
B22_SA;SA_Routing_1;0.58
B22_FA;FA_Drill_2;-63507371.95
B22_FA;FA_Cut_2;3.93
;FA_Cut_1;4.03
B22_SA;SA_Drill_2;63507378.38
;BP_Sand_1;3
B22;Assemble_2;-63507373.55
B22_BP;BP_Cut_1;1.9
B22_BP;;5.7
B22_SA;SA_Assemble_1;2.12
B22_FA;FA_Drill_3;6.05
B22_FA;FA_Assemble_1;1.83
B22_SA;SA_Cut_1;2.25
B22_SA;SA_Routing_1;63507375.08
B22_BP;BP_Paint_1;2.38
B22_BP;BP_Sand_2;3
B22_SA;SA_Drill_3;6.37
B22_BP;BP_Cut_1;2.23
B22_BP;BP_Drill_1;5.38
B22_SA;SA_Assemble_2;2.1
B22_FA;FA_Cut_2;4.25
B22_FA;FA_Drill_1;5.88
B22;Sand_1;7.32
B22;Assemble_1;4.05
B22_FA;FA_Assemble_1;1.68
B22_BP;BP_Paint_2;2.33
B22_FA;FA_Cut_1;3.27
B22_SA;SA_Cut_1;2.47
B22_SA;SA_Routing_1;0.53
B22_SA;SA_Drill_1;5.62
B22_BP;BP_Sand_1;3.5
B22_BP;BP_Cut_1;2.27
B22_FA;FA_Drill_2;6.18
B22_BP;BP_Drill_2;6.35
B22_BP;BP_Paint_1;2.43
B22;Assemble_3;4.37
B22_FA;FA_Assemble_1;1.93
B22;Sand_2;6.73
B22_SA;SA_Assemble_1;2.47
B22_BP;BP_Sand_2;-63507379.42
B22_SA;SA_Cut_1;2.08
B22_SA;SA_Routing_1;0.53
B22_SA;SA_Drill_2;4.97
B22_FA;FA_Cut_1;3.83
B22_BP;BP_Cut_1;2.22
B22_BP;BP_Drill_3;6
B22_FA;;6
B22_FA;;3.9
B22;Sand_3;7.48
B22_FA;FA_Assemble_1;1.93
B22;Assemble_1;4.55
B22_BP;BP_Sand_1;3.3
B22_BP;BP_Paint_1;2.52
B22_SA;SA_Cut_1;2.27
B22_SA;SA_Routing_1;0.57
B22_SA;SA_Assemble_1;2.08
B22_FA;FA_Drill_1;5.57
B22_SA;SA_Drill_3;5.57
B22_BP;BP_Cut_1;2.12
B22_BP;BP_Drill_1;5.67
B22_FA;FA_Assemble_1;1.58
B22;Sand_4;6.23
B22_BP;BP_Paint_2;2.38
B22_SA;SA_Assemble_2;2.3
B22;Paint_1;5.77
;SA_Cut_1;2.42
B22_SA;SA_Routing_1;0.55
;Assemble_2;4.1
B22_FA;FA_Cut_1;3.77
B22_FA;FA_Drill_2;5.68
B22_BP;BP_Sand_2;3.03
B22_FA;FA_Assemble_1;1.75
B22_FA;FA_Cut_2;3.87
B22_SA;SA_Drill_1;-63507384.58
;BP_Cut_1;-63507384.63
B22_BP;BP_Drill_2;6.37
B22_BP;BP_Paint_1;2.67
B22;Paint_2;5.37
B22_SA;SA_Assemble_1;-63507385.2
B22;Assemble_3;4.53
B22;Sand_1;7.43
B22_BP;BP_Sand_1;3.27
B22_FA;FA_Drill_3;6.55
B22_SA;SA_Cut_1;2.4
B22_SA;SA_Routing_1;0.5
B22_FA;FA_Assemble_1;1.82
B22_BP;BP_Cut_1;2.33
B22_SA;SA_Drill_2;-63507387.03
B22_BP;BP_Drill_3;5.73
B22;Assemble_1;4.6
B22_BP;BP_Paint_1;2.73
B22_FA;FA_Drill_1;6.6
B22_FA;FA_Cut_1;3.53
B22;Paint_3;5.95
B22_SA;SA_Assemble_1;2.07
B22;Sand_2;7.68
B22_BP;BP_Sand_2;3.62
B22_FA;FA_Cut_2;3.87
B22_FA;FA_Assemble_1;1.8
B22_SA;SA_Cut_1;2.43
B22_SA;SA_Routing_1;0.53
B22_BP;BP_Cut_1;2.27
B22_BP;BP_Drill_1;6.02
B22;Paint_1;6.17
;SA_Drill_3;5.97
B22_BP;BP_Paint_2;2.58
B22_FA;FA_Drill_2;5.8
B22;Assemble_2;4.57
B22;Sand_3;7.32
B22_FA;FA_Assemble_1;1.87
B22_SA;SA_Assemble_1;2.32
B22_BP;BP_Sand_1;3.22
B22_SA;SA_Cut_1;2.1
B22_SA;SA_Routing_1;0.52
B22_FA;FA_Cut_1;63507395.35
B22_BP;BP_Cut_1;-63507391.75
B22_BP;BP_Drill_2;5.72
B22_BP;BP_Paint_1;2.5
B22_SA;SA_Drill_1;5.03
B22;Sand_4;-63507392.2
B22_FA;FA_Cut_2;3.83
B22_SA;;2.42
B22_BP;BP_Sand_2;-63507392.92
B22_FA;FA_Drill_3;6.45
B22;;4.52
B22_FA;FA_Assemble_1;1.8
B22;Paint_2;5.43
B22_SA;SA_Cut_1;2.37
B22_SA;SA_Routing_1;0.53
B22_BP;BP_Cut_1;2.12
B22_BP;BP_Drill_3;5.03
B22_SA;SA_Drill_2;5.1
B22_BP;BP_Paint_2;2.35
B22_FA;FA_Drill_1;-63507394.6
B22;Sand_1;7.67
B22_FA;FA_Assemble_1;-63507395.15
B22;Assemble_2;4.43
B22_FA;FA_Cut_1;3.62
B22_BP;BP_Sand_1;63507398.58
B22_FA;FA_Drill_2;5.22
B22_SA;SA_Assemble_1;1.97
B22;Paint_1;5.45
B22_SA;SA_Cut_1;2.45
B22_SA;SA_Routing_1;0.53
B22_BP;;2.08
B22_BP;BP_Drill_1;5.5
B22_FA;FA_Cut_2;3.9
B22_BP;BP_Paint_1;2.27
;SA_Drill_3;6.05
B22_FA;FA_Assemble_1;1.75
;SA_Assemble_2;63507399.77
B22_BP;;3.75
B22;Sand_2;6.93
B22;Assemble_1;4.58
B22;Paint_3;5.87
B22_BP;BP_Cut_1;2.23
B22_BP;BP_Drill_2;5.3
B22_SA;SA_Cut_1;2.28
B22_SA;SA_Routing_1;0.48
B22_BP;;2.68
B22_BP;BP_Sand_1;63507402.37
B22_SA;SA_Drill_1;6.22
;FA_Cut_1;3.75
B22_FA;FA_Drill_3;6.32
B22_SA;SA_Assemble_1;2.03
B22_FA;FA_Assemble_1;1.68
B22;Paint_2;5.5
B22;Sand_3;7.53
B22;Assemble_3;4.75
B22_FA;FA_Cut_2;4.15
B22_BP;;1.95
B22_BP;BP_Drill_3;6.33
;FA_Drill_2;5.52
B22_SA;SA_Cut_1;2.1
B22_SA;SA_Routing_1;0.57
B22_FA;FA_Drill_1;5.57
B22_BP;BP_Paint_1;-63507401.52
B22_FA;FA_Assemble_1;1.63
B22_SA;SA_Drill_2;5.52
B22;Assemble_2;4.62
B22_BP;BP_Sand_2;3.68
B22_BP;;2.47
B22;Sand_4;6.13
B22_BP;BP_Cut_1;0
B22_BP;BP_Drill_1;5.55
B22;Paint_1;5.63
B22_SA;SA_Assemble_1;2.23
B22_FA;FA_Cut_1;3.67
B22_SA;SA_Cut_1;-63507403.17
B22_SA;SA_Routing_1;0.52
B22_FA;FA_Assemble_1;1.85
B22_BP;;63507407.07
B22_SA;SA_Drill_3;5.87
B22_FA;FA_Cut_2;3.65
B22;Sand_1;-63507404.8
B22_BP;BP_Cut_1;2.17
B22;Paint_3;5.65
B22_BP;BP_Drill_2;6.13
B22;Assemble_1;4.02
B22_SA;SA_Cut_1;2.12
B22_SA;SA_Routing_1;0.5
B22_SA;SA_Assemble_1;2.17
B22_BP;BP_Paint_1;2.52
B22_FA;FA_Drill_3;6.32
B22_FA;FA_Assemble_1;1.83
B22_SA;SA_Drill_1;5.3
B22;Sand_2;8.02
B22_FA;FA_Drill_2;6.2
B22_FA;FA_Drill_1;6.33
B22_FA;FA_Cut_1;3.93
B22_BP;BP_Cut_1;-63507407.07
B22_BP;BP_Sand_2;3.38
B22_BP;BP_Drill_3;5.23
B22_BP;BP_Paint_2;2.48
B22_SA;SA_Assemble_2;2.18
B22;Paint_2;4.58
B22_SA;;2.23
B22_SA;SA_Routing_1;0.5
B22;Assemble_2;4.45
B22_FA;FA_Assemble_1;1.75
B22_BP;BP_Sand_1;3.17
B22_SA;SA_Drill_2;6.43
;FA_Cut_2;4.17
B22;Paint_1;5.13
B22_BP;BP_Cut_1;1.95
B22_BP;BP_Drill_1;5.6
