Tiempo;Producto;Estacion;Scrap Used
123;B22_SA;SA_Cut_1;False
138;B22_SA;SA_Cut_1;False
147;B22_SA;SA_Cut_1;False
130;B22_SA;SA_Cut_1;False
135;B22_SA;SA_Cut_1;False
148;B22_SA;SA_Cut_1;False
125;B22_SA;SA_Cut_1;False
136;B22_SA;SA_Cut_1;False
144;B22_SA;SA_Cut_1;False
146;B22_SA;SA_Cut_1;False
126;B22_SA;SA_Cut_1;False
142;B22_SA;SA_Cut_1;False
147;B22_SA;SA_Cut_1;False
137;B22_SA;SA_Cut_1;False
126;B22_SA;SA_Cut_1;False
127;B22_SA;SA_Cut_1;False
140;B22_SA;SA_Cut_1;False
136;B22_SA;SA_Cut_1;False
143;B22_SA;SA_Cut_1;False
123;B22_SA;SA_Cut_1;False
124;B22_SA;SA_Cut_1;False
102;B22_SA;SA_Cut_1;True
101;B22_SA;SA_Cut_1;True
99;B22_SA;SA_Cut_1;True
109;B22_SA;SA_Cut_1;True
108;B22_SA;SA_Cut_1;True
99;B22_SA;SA_Cut_1;True
101;B22_SA;SA_Cut_1;True
92;B22_SA;SA_Cut_1;True
99;B22_SA;SA_Cut_1;True
93;B22_SA;SA_Cut_1;True
146;B22_SA;SA_Cut_1;False
121;B22_SA;SA_Cut_1;False
130;B22_SA;SA_Cut_1;False
130;B22_SA;SA_Cut_1;False
128;B22_SA;SA_Cut_1;False
132;B22_SA;SA_Cut_1;False
137;B22_SA;SA_Cut_1;False
148;B22_SA;SA_Cut_1;False
127;B22_SA;SA_Cut_1;False
131;B22_SA;SA_Cut_1;False
121;B22_SA;SA_Cut_1;False
136;B22_SA;SA_Cut_1;False
137;B22_SA;SA_Cut_1;False
116;B22_SA;SA_Cut_1;True
107;B22_SA;SA_Cut_1;True
106;B22_SA;SA_Cut_1;True
95;B22_SA;SA_Cut_1;True
104;B22_SA;SA_Cut_1;True
107;B22_SA;SA_Cut_1;True
98;B22_SA;SA_Cut_1;True
108;B22_SA;SA_Cut_1;True
100;B22_SA;SA_Cut_1;True
144;B22_SA;SA_Cut_1;False
137;B22_SA;SA_Cut_1;False
128;B22_SA;SA_Cut_1;False
128;B22_SA;SA_Cut_1;False
134;B22_SA;SA_Cut_1;False
130;B22_SA;SA_Cut_1;False
136;B22_SA;SA_Cut_1;False
129;B22_SA;SA_Cut_1;False
125;B22_SA;SA_Cut_1;False
125;B22_SA;SA_Cut_1;False
130;B22_SA;SA_Cut_1;False
147;B22_SA;SA_Cut_1;False
105;B22_SA;SA_Cut_1;True
111;B22_SA;SA_Cut_1;True
95;B22_SA;SA_Cut_1;True
104;B22_SA;SA_Cut_1;True
95;B22_SA;SA_Cut_1;True
98;B22_SA;SA_Cut_1;True
105;B22_SA;SA_Cut_1;True
107;B22_SA;SA_Cut_1;True
135;B22_SA;SA_Cut_1;False
125;B22_SA;SA_Cut_1;False
125;B22_SA;SA_Cut_1;False
137;B22_SA;SA_Cut_1;False
135;B22_SA;SA_Cut_1;False
138;B22_SA;SA_Cut_1;False
102;B22_SA;SA_Cut_1;True
101;B22_SA;SA_Cut_1;True
98;B22_SA;SA_Cut_1;True
102;B22_SA;SA_Cut_1;True
94;B22_SA;SA_Cut_1;True
106;B22_SA;SA_Cut_1;True
104;B22_SA;SA_Cut_1;True
133;B22_SA;SA_Cut_1;False
138;B22_SA;SA_Cut_1;False
134;B22_SA;SA_Cut_1;False
144;B22_SA;SA_Cut_1;False
133;B22_SA;SA_Cut_1;False
146;B22_SA;SA_Cut_1;False
132;B22_SA;SA_Cut_1;False
128;B22_SA;SA_Cut_1;False
133;B22_SA;SA_Cut_1;False
125;B22_SA;SA_Cut_1;False
128;B22_SA;SA_Cut_1;False
139;B22_SA;SA_Cut_1;False
128;B22_SA;SA_Cut_1;False
106;B22_SA;SA_Cut_1;True
107;B22_SA;SA_Cut_1;True
101;B22_SA;SA_Cut_1;True
98;B22_SA;SA_Cut_1;True
95;B22_SA;SA_Cut_1;True
103;B22_SA;SA_Cut_1;True
102;B22_SA;SA_Cut_1;True
135;B22_SA;SA_Cut_1;False
121;B22_SA;SA_Cut_1;False
140;B22_SA;SA_Cut_1;False
128;B22_SA;SA_Cut_1;False
137;B22_SA;SA_Cut_1;False
141;B22_SA;SA_Cut_1;False
130;B22_SA;SA_Cut_1;False
132;B22_SA;SA_Cut_1;False
128;B22_SA;SA_Cut_1;False
137;B22_SA;SA_Cut_1;False
111;B22_SA;SA_Cut_1;True
102;B22_SA;SA_Cut_1;True
113;B22_SA;SA_Cut_1;True
106;B22_SA;SA_Cut_1;True
97;B22_SA;SA_Cut_1;True
105;B22_SA;SA_Cut_1;True
102;B22_SA;SA_Cut_1;True
116;B22_SA;SA_Cut_1;True
116;B22_SA;SA_Cut_1;True
149;B22_SA;SA_Cut_1;False
136;B22_SA;SA_Cut_1;False
145;B22_SA;SA_Cut_1;False
132;B22_SA;SA_Cut_1;False
123;B22_SA;SA_Cut_1;False
128;B22_SA;SA_Cut_1;False
143;B22_SA;SA_Cut_1;False
134;B22_SA;SA_Cut_1;False
137;B22_SA;SA_Cut_1;False
131;B22_SA;SA_Cut_1;False
102;B22_SA;SA_Cut_1;True
102;B22_SA;SA_Cut_1;True
109;B22_SA;SA_Cut_1;True
106;B22_SA;SA_Cut_1;True
103;B22_SA;SA_Cut_1;True
96;B22_SA;SA_Cut_1;True
108;B22_SA;SA_Cut_1;True
105;B22_SA;SA_Cut_1;True
133;B22_SA;SA_Cut_1;False
139;B22_SA;SA_Cut_1;False
142;B22_SA;SA_Cut_1;False
118;B22_SA;SA_Cut_1;False
138;B22_SA;SA_Cut_1;False
137;B22_SA;SA_Cut_1;False
142;B22_SA;SA_Cut_1;False
144;B22_SA;SA_Cut_1;False
129;B22_SA;SA_Cut_1;False
131;B22_SA;SA_Cut_1;False
121;B22_SA;SA_Cut_1;False
124;B22_SA;SA_Cut_1;False
135;B22_SA;SA_Cut_1;False
140;B22_SA;SA_Cut_1;False
123;B22_SA;SA_Cut_1;False
106;B22_SA;SA_Cut_1;True
109;B22_SA;SA_Cut_1;True
101;B22_SA;SA_Cut_1;True
110;B22_SA;SA_Cut_1;True
110;B22_SA;SA_Cut_1;True
108;B22_SA;SA_Cut_1;True
101;B22_SA;SA_Cut_1;True
107;B22_SA;SA_Cut_1;True
132;B22_SA;SA_Cut_1;False
143;B22_SA;SA_Cut_1;False
119;B22_SA;SA_Cut_1;False
134;B22_SA;SA_Cut_1;False
