Object Type,Object Name,Data Source,Time Period,Category,Data Item,Statistic Type,Value
Combiner,Assemble_1,[Resource],Run,Capacity,ScheduledUtilization,Percent,0.0946714235511187
Combiner,Assemble_1,[Resource],Run,Capacity,UnitsAllocated,Total,666
Combiner,Assemble_1,[Resource],Run,Capacity,UnitsScheduled,Average,1
Combiner,Assemble_1,[Resource],Run,Capacity,UnitsScheduled,Maximum,1
Combiner,Assemble_1,[Resource],Run,Capacity,UnitsScheduled,Minimum,1
Combiner,Assemble_1,[Resource],Run,Capacity,UnitsUtilized,Average,0.000946714235511186
Combiner,Assemble_1,[Resource],Run,Capacity,UnitsUtilized,Maximum,1
Combiner,Assemble_1,[Resource],Run,Capacity,UnitsUtilized,Minimum,0
Combiner,Assemble_1,[Resource],Run,ResourceState,TimeProcessing,Average,0.00660341601993568
Combiner,Assemble_1,[Resource],Run,ResourceState,TimeProcessing,Occurrences,281
Combiner,Assemble_1,[Resource],Run,ResourceState,TimeProcessing,Percent,0.0946714235511187
Combiner,Assemble_1,[Resource],Run,ResourceState,TimeProcessing,Total,1.85555990160193
Combiner,Assemble_1,[Resource],Run,ResourceState,TimeStarved,Average,6.94377461027801
Combiner,Assemble_1,[Resource],Run,ResourceState,TimeStarved,Occurrences,282
Combiner,Assemble_1,[Resource],Run,ResourceState,TimeStarved,Percent,99.9053285764489
Combiner,Assemble_1,[Resource],Run,ResourceState,TimeStarved,Total,1958.1444400984
Combiner,Assemble_1,MemberInputBuffer,Run,Throughput,NumberEntered,Total,2664
Combiner,Assemble_1,MemberInputBuffer,Run,Throughput,NumberExited,Total,2664
Combiner,Assemble_1,OutputBuffer,Run,Throughput,NumberEntered,Total,666
Combiner,Assemble_1,OutputBuffer,Run,Throughput,NumberExited,Total,666
Combiner,Assemble_1,ParentInputBuffer,Run,Content,NumberInStation,Average,0.000991857636093778
Combiner,Assemble_1,ParentInputBuffer,Run,Content,NumberInStation,Maximum,5
Combiner,Assemble_1,ParentInputBuffer,Run,Content,NumberInStation,Minimum,0
Combiner,Assemble_1,ParentInputBuffer,Run,HoldingTime,TimeInStation,Average,0.00291898043054625
Combiner,Assemble_1,ParentInputBuffer,Run,HoldingTime,TimeInStation,Maximum,0.0127930762681814
Combiner,Assemble_1,ParentInputBuffer,Run,HoldingTime,TimeInStation,Minimum,0.00136111111109471
Combiner,Assemble_1,ParentInputBuffer,Run,Throughput,NumberEntered,Total,666
Combiner,Assemble_1,ParentInputBuffer,Run,Throughput,NumberExited,Total,666
Combiner,Assemble_1,Processing,Run,Content,NumberInStation,Average,0.000946714235511186
Combiner,Assemble_1,Processing,Run,Content,NumberInStation,Maximum,1
Combiner,Assemble_1,Processing,Run,Content,NumberInStation,Minimum,0
Combiner,Assemble_1,Processing,Run,HoldingTime,TimeInStation,Average,0.00278612597838127
Combiner,Assemble_1,Processing,Run,HoldingTime,TimeInStation,Maximum,0.003326171288208
Combiner,Assemble_1,Processing,Run,HoldingTime,TimeInStation,Minimum,0.00224326211684911
Combiner,Assemble_1,Processing,Run,Throughput,NumberEntered,Total,666
Combiner,Assemble_1,Processing,Run,Throughput,NumberExited,Total,666
Combiner,Assemble_2,[Resource],Run,Capacity,ScheduledUtilization,Percent,0.0973722843584852
Combiner,Assemble_2,[Resource],Run,Capacity,UnitsAllocated,Total,687
Combiner,Assemble_2,[Resource],Run,Capacity,UnitsScheduled,Average,1
Combiner,Assemble_2,[Resource],Run,Capacity,UnitsScheduled,Maximum,1
Combiner,Assemble_2,[Resource],Run,Capacity,UnitsScheduled,Minimum,1
Combiner,Assemble_2,[Resource],Run,Capacity,UnitsUtilized,Average,0.000973722843584852
Combiner,Assemble_2,[Resource],Run,Capacity,UnitsUtilized,Maximum,1
Combiner,Assemble_2,[Resource],Run,Capacity,UnitsUtilized,Minimum,0
Combiner,Assemble_2,[Resource],Run,ResourceState,TimeProcessing,Average,0.00701653225524379
Combiner,Assemble_2,[Resource],Run,ResourceState,TimeProcessing,Occurrences,272
Combiner,Assemble_2,[Resource],Run,ResourceState,TimeProcessing,Percent,0.0973722843584852
Combiner,Assemble_2,[Resource],Run,ResourceState,TimeProcessing,Total,1.90849677342631
Combiner,Assemble_2,[Resource],Run,ResourceState,TimeStarved,Average,7.17249634881529
Combiner,Assemble_2,[Resource],Run,ResourceState,TimeStarved,Occurrences,273
Combiner,Assemble_2,[Resource],Run,ResourceState,TimeStarved,Percent,99.9026277156415
Combiner,Assemble_2,[Resource],Run,ResourceState,TimeStarved,Total,1958.09150322657
Combiner,Assemble_2,MemberInputBuffer,Run,Throughput,NumberEntered,Total,2748
Combiner,Assemble_2,MemberInputBuffer,Run,Throughput,NumberExited,Total,2748
Combiner,Assemble_2,OutputBuffer,Run,Throughput,NumberEntered,Total,687
Combiner,Assemble_2,OutputBuffer,Run,Throughput,NumberExited,Total,687
Combiner,Assemble_2,ParentInputBuffer,Run,Content,NumberInStation,Average,0.000941478698101498
Combiner,Assemble_2,ParentInputBuffer,Run,Content,NumberInStation,Maximum,7
Combiner,Assemble_2,ParentInputBuffer,Run,Content,NumberInStation,Minimum,0
Combiner,Assemble_2,ParentInputBuffer,Run,HoldingTime,TimeInStation,Average,0.00268602365106104
Combiner,Assemble_2,ParentInputBuffer,Run,HoldingTime,TimeInStation,Maximum,0.0186304284273433
Combiner,Assemble_2,ParentInputBuffer,Run,HoldingTime,TimeInStation,Minimum,0.00104444444443175
Combiner,Assemble_2,ParentInputBuffer,Run,Throughput,NumberEntered,Total,687
Combiner,Assemble_2,ParentInputBuffer,Run,Throughput,NumberExited,Total,687
